,user_id,name,review_count,friends,fans
0,XLs_PhrJ7Qwn_RfgMM7Djw,Weili,90,[],1
1,IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,"['y3Wtx1pOvTiqsJRkjceXiw', '_BcWyKQL16ndpBdggh2kNA', 'lRRuTimITgwzoXLIM3g9qw', 'z02XKjGqJMONH59_lUHlTQ', '47K1MpOBhigOvjuBcDbm7Q', '2-RlTk9dJNpj85MR2B46Cg', '_hPjqzQDiyw1-4U_IAETpg', 'dhLizr4a2oydrv15y56r0A', 'rkxGrjk2WeAT5ZMfChT3kw', 'pbCb0Tz0KQ0kkgaxzhWhoA', 'Ed0GuUa_1UjbSk8qaQsHlA', '_LNCGYNoGKxyVUag3EG0-g', 'B9iPTih0dmpZn6fRyZnLLg', 'gTrKXmAx1ytdvh1xutIlfA', 'u1gUbwyeBe8mtV97hZyImg', 'UiRx8jyS6H957ItwFsP2nQ', 'IPxJLWpKptzpTWlfjFiuHA', 'srETv2HpH9fQ-7wCvCAQng', 'cUB2WhICFuSe7DwXAIoo0g', 'vU9_lZqJQIR8btUYw7fqxA', 'pLZIZXIebqEcrX7IVKoJRg', 'IWxNILja-WvurTuJWJ4skA', '63hpZgj7peTKizDs4zeKZA']",35
2,0juMoWXC7z4c7LgQP2s3sA,JR,199,"['46Wi08T5D3phf3SMgi7U3w', 'HUxktqjf5kJm0tIHTCCwsQ', 'X-8WUdJ1hYidYXQygzTEBw', 'sGaoPWB_p1aOm5z9cnV3Aw']",9
3,FlhZYUEhfpfm0Ynxacftwg,Kate,94,"['UiRx8jyS6H957ItwFsP2nQ', 'Oi1qbcz2m2SnwUeztGYcnQ', 'Vgk5Cnye-wjiSMGDBKoK9w', 'Zpb3qkFUeQOY5e8ZrNeGaQ', 'kTpsjDUhl9BlRl0FVuNreA']",6
4,PadmV2GEoA6mWpQUpPh7Ig,Monica,695,"['hHoigAK81AtqSUtBmkqWjg', 'wZPizeBxMAyOSl0M0zuCjg']",104
5,1-gnHNzZNbn8lFwYRF_CtA,Liz,112,"['-NbeVN5tnwdyYAvdNkKMjw', 'rm92EiaA7h5lLbAK5dJKcw', '47K1MpOBhigOvjuBcDbm7Q']",36
6,UJEjJgi1xpmLR4b3J8fn2Q,Ken,341,"['6WG2IGTVr-xKn0pYQZJGjw', '61FNJUiDqXReViksOYiILQ', 'Wmux4GgQkNBGz4mb0BBT3w', 'X-8WUdJ1hYidYXQygzTEBw', 'j_orXueAYJBft-VUNbs1IA', '31_OzcUIfroEoSqpYuPQuw', 'ppsm8EDKjA1fp1yTCP3RrQ', 'AvGJVv7Z3a0q1MJT1Ykd0w', 'P9hbcVoZIPKF4gV8KH427A', '46Wi08T5D3phf3SMgi7U3w', 'B4cnr5d2S_7McR3XBfrscA', 's_ushMFjAYjIvszJW2gOhQ', 'mzL0zHFGyd9866OUljq49g', 'hVPyu7QWaSQgOlz0rppmkg', '7ZauzmeTHuR-8FqnmJbOtA', 'lRRuTimITgwzoXLIM3g9qw', 'ZCVEZmTB_StK-UXA3WPVlQ', 'oknU9tuT6R16XlolOBnWHw', 'NMOxipsnXc6olWdHYzXiYA', 'EouCKoDfzaVG0klEgdDvCQ', 'TR7ezcRznfr1Jif7euZZJg', 'FlXBpK_YZxLo27jcMdII1w', 'v4KYRLFGmeqwlntnDbJ4Uw', 'fYB4nPD2Y0uXXpVo20ZrNg', '-hKniZN2OdshWLHYuj21jQ', '_hPjqzQDiyw1-4U_IAETpg', 'hv2VFkaZpwdVSl-VdNfitw', '5G2IF0VIN3Brl-m45QDXsA', 'GcdYgbaF75vj7RO6EZhPOQ', 's-xVBnGjW1U4iqbTJRSu7Q', 'cUB2WhICFuSe7DwXAIoo0g', 'HigkMf3t7YE_X0D49Vd7jQ', '_BcWyKQL16ndpBdggh2kNA', 'cIVmIJD7nIiEcVGamfBoVw', 'wWa9X07Cq8EVaqJrA5QKyA', 'FC2VrNn9SmcchQc31D1mHA', 'C6YEJOh2TUgBUqwWN6a4cQ', 'Dn9WngLhC-utqIS07IlP2A', 'dqucQwA-CHWhUczwqIxKKg', 'Zpb3qkFUeQOY5e8ZrNeGaQ', 'TFvhSVpxUgZWks1cZqpakA', 'RKULSOrIvvYpDmtuYXEXzA', 'XQk-XZKwNim2fsc8_LHksA', 'zhDIG_fmwym2xJssR3bmcQ', '8EMU7d4pCkdqUnvlIW40CA', 'Ch759-9JBBu-UafQ2-abYQ', 'XuaqlmZdRldcw97I_TtX9w', 'K17847uudqPFPIjSPgxs2A', 'u7lGgwVTmPaILJ0C1CwnHg', 'BmVwbsL8l0imz4slonyMaA', '6Mv-qMJyxSokCu8YFM1o0A', 'fCvMnJU1Z-XhAjKg99wK3Q', 'TOj5yZZEwS3J3fLgo3V3yQ', '8wQIoFapkegkC5fcVYg_Iw', 'EQpFHqGT9Tk6YSwORTtwpg', '-G7Zkl1wIWBBmD0KRy_sCw', 'ZcogXYI50Ja_6b4CdEG_0Q', 'vbEf26yXYP0WBsveEXWIlw', '6Yy4vdVpfmy19SigDdVZtA', 'Oi1qbcz2m2SnwUeztGYcnQ', 'y3Wtx1pOvTiqsJRkjceXiw', 'vU9_lZqJQIR8btUYw7fqxA', 'KuYOQa9gGKK9h1HfvRDAMA', 'SeWsQoYPbQuMAqfRNNS6Jg', 'sGaoPWB_p1aOm5z9cnV3Aw', 'NNgQ8fV5ARQgHw-Ob7l50A', 'KeuhteHe76DxDlXnkWoDwA', 'DSG2QzgGD_0QgNGqYITraw', 'OLGQ7alK4VKl3YdQk6UF5g', 'GqEF3Wh2e8Q2G2pN7JivrA', 'R0NPQEVtdE-3atyhMFt6PQ', '6kJFLAHV-tNsBEZaRTqEWQ', '6pbNMgTnSYrtPHDN07IXwA', 'tUW0AXg4C3H9TP5lyhoQuA', 'IfiZzbPMZvlQ94IffHV7kg']",35
7,7LmJ87EijrHcoYRu9WgoHg,Jack,1050,"['XYSDrIef7g4Gmp3lNFVO6A', '1vB6Olfkba7Sb-Y6TfiB0Q', '6Mv-qMJyxSokCu8YFM1o0A', 'TOj5yZZEwS3J3fLgo3V3yQ', 'JcB4XA0zxlx6F4b4MUT0Hg', 'xvZ6w6zoogvvcEu2Shz88A', 'BcovypoLnNk7LGsnBEN9_A', 'Oe4LLtN1tn46sDUM-BSX_A', 'We9qK9M-oI6LUULbQo_InQ', 'RKULSOrIvvYpDmtuYXEXzA', 'hUC20Pp-3Cj9jbBRYjn4wQ', 'huayr-WjhExgJPIZcRhZIQ', 'DMx9EJox_ZlUHgrQE5JvGw', 'EiT_pSuIb08oRn4CfwfMJg']",117
8,FH14lvoIAKhva9KVgvzKJw,Dylan,34,[],2
9,kLm3B6LeboEZWX_4otpILA,Izzat,1670,"['Oi1qbcz2m2SnwUeztGYcnQ', 'RPJD8hqBnROZREuUc7liEA']",35
